"","season","player","goals_per_min"
"1","2013","Megan Rapinoe",NA
"2","2014","Megan Rapinoe","0.00705467372134039"
"3","2015","Megan Rapinoe","0.00606796116504854"
"4","2016","Megan Rapinoe","0.0048780487804878"
"5","2017","Megan Rapinoe","0.00788436268068331"
"6","2018","Megan Rapinoe","0.00531511009870919"
"7","2019","Megan Rapinoe","0"
"8","2013","Carli Lloyd","0"
"9","2014","Carli Lloyd","0.00467836257309942"
"10","2015","Carli Lloyd","0.0037037037037037"
"11","2016","Carli Lloyd","0.00904159132007233"
"12","2017","Carli Lloyd","0.00309119010819165"
"13","2018","Carli Lloyd","0.00255918106206014"
"14","2019","Carli Lloyd","0.00634920634920635"
"15","2015","Lynn Williams","0.00340136054421769"
"16","2016","Lynn Williams","0.00658288450029922"
"17","2017","Lynn Williams","0.00492880613362541"
"18","2018","Lynn Williams","0.00819672131147541"
"19","2019","Lynn Williams","0.00648648648648649"
"20","2017","Mallory Pugh","0.00498753117206983"
"21","2018","Mallory Pugh","0.00184842883548983"
"22","2019","Mallory Pugh","0.00261437908496732"
"23","season","season","season"
