"","player_name","year","mins_played","goals","big_chance_missed","goal_assist","total_offside","forward_zone_pass_acc","turnover","ontarget_att_assist","ontarget_scoring_att","successful_final_third_passes","leftside_pass","rightside_pass"
"1","Carli Lloyd","2016",90,1,0,0,0,0.666666666666667,0,1,2,9,7,9
"2","Carli Lloyd","2017",35,0,1,0,0,0.818181818181818,0,0,1,5,2,6
"3","Carli Lloyd","2018",90,1,0,0,1,0.689655172413793,1,1,1,8,15,11
"4","Carli Lloyd","2018",90,0,1,0,0,0.696969696969697,4,0,2,9,15,9
"5","Carli Lloyd","2018",90,0,0,0,1,0.666666666666667,1,1,2,13,13,12
"6","Carli Lloyd","2018",90,0,0,1,1,0.785714285714286,3,2,0,12,2,16
"7","Carli Lloyd","2018",90,0,0,0,1,0.647058823529412,1,0,0,13,11,12
"8","Carli Lloyd","2018",90,1,0,0,0,0.5625,4,1,2,13,12,5
"9","Carli Lloyd","2018",90,0,0,0,1,0.535714285714286,1,0,2,7,9,5
"10","Carli Lloyd","2019",90,0,2,0,3,0.636363636363636,3,0,4,9,7,5
"11","Carli Lloyd","2019",90,1,1,0,0,0.578947368421053,5,0,1,6,5,5
"12","Lynn Williams","2016",90,0,1,0,0,0.363636363636364,8,1,3,3,1,3
"13","Lynn Williams","2016",90,1,1,0,3,0.56,5,0,5,7,4,6
"14","Lynn Williams","2016",90,1,0,0,0,0.411764705882353,3,0,2,5,3,3
"15","Lynn Williams","2016",89,1,3,0,3,0.590909090909091,3,0,4,9,3,10
"16","Lynn Williams","2016",89,1,0,0,1,0.636363636363636,0,2,2,12,3,7
"17","Lynn Williams","2016",90,0,0,0,1,0.65,2,1,0,7,1,10
"18","Lynn Williams","2017",90,1,0,0,0,0.516129032258065,6,3,1,11,6,13
"19","Lynn Williams","2017",90,0,0,0,0,0.681818181818182,1,1,2,8,5,7
"20","Lynn Williams","2017",90,1,0,0,0,0.583333333333333,3,3,4,9,8,8
"21","Lynn Williams","2017",90,0,0,0,0,0.277777777777778,5,1,0,3,7,4
"22","Lynn Williams","2017",90,0,0,0,0,0.4,5,0,1,4,7,5
"23","Lynn Williams","2018",78,1,3,2,1,0.5,4,3,6,5,5,2
"24","Lynn Williams","2018",90,0,0,0,1,0.5,4,1,0,5,8,2
"25","Lynn Williams","2018",73,0,0,0,2,0.285714285714286,2,0,0,2,2,2
"26","Lynn Williams","2018",90,1,0,0,1,0.466666666666667,3,0,4,3,4,5
"27","Lynn Williams","2018",18,0,0,0,0,0.75,2,0,0,3,1,3
"28","Lynn Williams","2018",90,1,0,1,1,0.428571428571429,2,1,2,3,6,3
"29","Lynn Williams","2018",90,0,0,0,0,0.5625,7,0,1,4,3,4
"30","Lynn Williams","2018",90,0,1,0,1,0.578947368421053,0,0,1,9,11,5
"31","Lynn Williams","2019",90,0,1,0,2,0.428571428571429,5,0,3,4,5,5
"32","Lynn Williams","2019",90,1,0,0,3,0.434782608695652,5,1,2,6,13,5
"33","Lynn Williams","2019",90,0,0,0,0,0.722222222222222,1,1,1,8,1,10
"34","Mallory Pugh","2017",90,0,0,0,0,0.523809523809524,3,2,2,16,13,2
"35","Mallory Pugh","2017",28,1,0,0,0,0.769230769230769,3,0,1,6,7,2
"36","Mallory Pugh","2018",45,0,0,0,1,0.823529411764706,4,1,0,7,8,3
"37","Mallory Pugh","2018",90,0,1,0,0,0.705882352941177,5,0,1,8,8,4
"38","Mallory Pugh","2019",90,0,1,0,1,0.590909090909091,4,1,1,9,6,9
"39","Mallory Pugh","2019",90,1,0,0,2,0.473684210526316,2,1,1,2,8,3
"40","Mallory Pugh","2019",90,0,0,1,2,0.548387096774194,2,1,0,10,7,9
"41","Megan Rapinoe","2016",32,0,0,0,1,0.615384615384615,2,1,1,5,2,8
"42","Megan Rapinoe","2016",74,0,0,1,1,0.586206896551724,0,3,2,12,5,9
"43","Megan Rapinoe","2017",90,0,0,0,0,0.5,2,1,1,16,8,18
"44","Megan Rapinoe","2017",84,0,0,0,1,0.6,1,1,0,9,1,14
"45","Megan Rapinoe","2017",90,2,0,0,2,0.529411764705882,2,3,5,13,0,17
"46","Megan Rapinoe","2017",90,0,0,0,1,0.533333333333333,1,2,2,7,1,12
"47","Megan Rapinoe","2017",90,3,0,0,0,0.419354838709677,7,0,3,11,2,21
"48","Megan Rapinoe","2017",90,0,0,0,0,0.547619047619048,4,3,0,18,9,4
"49","Megan Rapinoe","2017",89,1,0,0,2,0.772727272727273,1,1,1,13,3,9
"50","Megan Rapinoe","2017",90,0,1,0,0,0.485714285714286,3,2,0,8,2,19
"51","Megan Rapinoe","2018",90,0,0,0,0,0.545454545454545,7,1,4,18,4,17
"52","Megan Rapinoe","2018",45,0,0,0,0,0.523809523809524,0,0,1,9,2,6
"53","Megan Rapinoe","2019",45,0,1,0,2,0.565217391304348,1,0,3,8,2,12
"54","Megan Rapinoe","2019",18,0,0,0,0,0.5,0,0,0,1,0,5
