Overall rank,Player name,_,_,Market value at 10th December 2020,Change vs October 2020,Selected currency,Current club (20/21 season),Current league (20/21 season),Nationality,Position,Age,Height (cm),Preferred foot,Intl. caps,Intl. goals,End of contract,On loan from (parent club),Agent
1,Kylian Mbappé,https://www.footballbenchmark.com/documents/images/Logos/Paris Saint-Germain FC.png,https://www.footballbenchmark.com/documents/images/Flags/fr.png,200,0,EUR (€),Paris Saint-Germain FC,Ligue 1,France,Left winger,22.15,178,right,39,16,2022-06-30 00:00:00,,Wilfried Mbappé
2,Raheem Sterling,https://www.footballbenchmark.com/documents/images/Logos/Manchester City FC.png,https://www.footballbenchmark.com/documents/images/Flags/England.png,132.5,-5,EUR (€),Manchester City FC,Premier League,England,Left winger,26.18,,right,58,13,2023-06-30 00:00:00,"",Colossal Sports Management
3,Jadon Sancho,https://www.footballbenchmark.com/documents/images/Logos/Borussia Dortmund.png,https://www.footballbenchmark.com/documents/images/Flags/England.png,130,-5,EUR (€),Borussia Dortmund,Bundesliga,England,Right winger,20.88,,right,18,3,2023-06-30 00:00:00,"",Elite Project Group Ltd.
4,Neymar,https://www.footballbenchmark.com/documents/images/Logos/Paris Saint-Germain FC.png,https://www.footballbenchmark.com/documents/images/Flags/br.png,125,-5.202385579560087,EUR (€),Paris Saint-Germain FC,Ligue 1,Brazil,Left winger,29.02,175,right,103,64,2022-06-30 00:00:00,"",Neymar Sr.
5,Harry Kane,https://www.footballbenchmark.com/documents/images/Logos/Tottenham Hotspur FC.png,https://www.footballbenchmark.com/documents/images/Flags/England.png,124,3.9919882743303106,EUR (€),Tottenham Hotspur FC,Premier League,England,Forward,27.54,188,right,48,32,2024-06-30 00:00:00,"",CK66
6,Mohamed Salah,https://www.footballbenchmark.com/documents/images/Logos/Liverpool FC.png,https://www.footballbenchmark.com/documents/images/Flags/eg.png,122.2,-2.763007600792207,EUR (€),Liverpool FC,Premier League,Egypt,Right winger,28.66,175,left,67,41,2023-06-30 00:00:00,"",Ramy Abbas Issa
8,Kevin De Bruyne,https://www.footballbenchmark.com/documents/images/Logos/Manchester City FC.png,https://www.footballbenchmark.com/documents/images/Flags/be.png,120,0,EUR (€),Manchester City FC,Premier League,Belgium,Attacking midfielder,29.63,181,right,78,20,2023-06-30 00:00:00,"",J&S International Football Management
7,Sadio Mané,https://www.footballbenchmark.com/documents/images/Logos/Liverpool FC.png,https://www.footballbenchmark.com/documents/images/Flags/sn.png,120,-5,EUR (€),Liverpool FC,Premier League,Senegal,Left winger,28.84,175,right,71,21,2023-06-30 00:00:00,"",arena11 sports group
9,Marcus Rashford,https://www.footballbenchmark.com/documents/images/Logos/Manchester United FC.png,https://www.footballbenchmark.com/documents/images/Flags/England.png,112.2,4.84588643037614,EUR (€),Manchester United FC,Premier League,England,Left winger,23.29,180,right,39,11,2023-06-30 00:00:00,"",Dwaine Maynard
10,Erling Haaland,https://www.footballbenchmark.com/documents/images/Logos/Borussia Dortmund.png,https://www.footballbenchmark.com/documents/images/Flags/no.png,110.2,10.209295293877249,EUR (€),Borussia Dortmund,Bundesliga,Norway,Forward,20.56,178,left,7,6,2024-06-30 00:00:00,"",Mino Raiola
11,Trent Alexander-Arnold,https://www.footballbenchmark.com/documents/images/Logos/Liverpool FC.png,https://www.footballbenchmark.com/documents/images/Flags/England.png,107.1,-3.670223906223697,EUR (€),Liverpool FC,Premier League,England,Right-back,22.35,,right,12,1,2024-06-30 00:00:00,"",Pro Legal Group
12,Lionel Messi,https://www.footballbenchmark.com/documents/images/Logos/FC Barcelona.png,https://www.footballbenchmark.com/documents/images/Flags/ar.png,101.3,-12.588494743700906,EUR (€),FC Barcelona,La Liga,Argentina,Right winger,33.64,170,left,140,71,2021-06-30 00:00:00,"",Jorge Horacio Messi
13,Serge Gnabry,https://www.footballbenchmark.com/documents/images/Logos/FC Bayern München.png,https://www.footballbenchmark.com/documents/images/Flags/de.png,99.8,10.571032254323342,EUR (€),FC Bayern München,Bundesliga,Germany,Right winger,25.58,175,right,17,14,2023-06-30 00:00:00,"",Spielerrat
14,Romelu Lukaku,https://www.footballbenchmark.com/documents/images/Logos/FC Internazionale Milano.png,https://www.footballbenchmark.com/documents/images/Flags/be.png,99.7,8.025773448414142,EUR (€),FC Internazionale Milano,Serie A,Belgium,Forward,27.75,190,left,89,57,2024-06-30 00:00:00,"",P&P Sport Management
15,Joshua Kimmich,https://www.footballbenchmark.com/documents/images/Logos/FC Bayern München.png,https://www.footballbenchmark.com/documents/images/Flags/de.png,98.3,4.534661421083143,EUR (€),FC Bayern München,Bundesliga,Germany,Defensive midfielder,26.01,176,right,50,3,2023-06-30 00:00:00,"",Fair-Sport Gmbh
16,Kai Havertz,https://www.footballbenchmark.com/documents/images/Logos/Chelsea FC.png,https://www.footballbenchmark.com/documents/images/Flags/de.png,95,1.2974985730936908,EUR (€),Chelsea FC,Premier League,Germany,Attacking midfielder,21.67,,left,10,2,2025-06-30 00:00:00,"",Spielerrat
17,Bruno Fernandes,https://www.footballbenchmark.com/documents/images/Logos/Manchester United FC.png,https://www.footballbenchmark.com/documents/images/Flags/pt.png,92.5,4.967442199861438,EUR (€),Manchester United FC,Premier League,Portugal,Attacking midfielder,26.43,179,right,23,2,2025-06-30 00:00:00,"",Positionumber
18,Frenkie de Jong,https://www.footballbenchmark.com/documents/images/Logos/FC Barcelona.png,https://www.footballbenchmark.com/documents/images/Flags/nl.png,90.9,-2.4658169829798737,EUR (€),FC Barcelona,La Liga,Netherlands,Central midfielder,23.75,180,right,14,1,2026-06-30 00:00:00,"",HCM Sports Management
20,Matthijs de Ligt,https://www.footballbenchmark.com/documents/images/Logos/Juventus FC.png,https://www.footballbenchmark.com/documents/images/Flags/nl.png,90,-2.1797114617100988,EUR (€),Juventus FC,Serie A,Netherlands,Centre-back,21.50,188,right,21,2,2024-06-30 00:00:00,"",Mino Raiola
19,Timo Werner,https://www.footballbenchmark.com/documents/images/Logos/Chelsea FC.png,https://www.footballbenchmark.com/documents/images/Flags/de.png,90,1.0502311037507894,EUR (€),Chelsea FC,Premier League,Germany,Forward,24.94,180,right,35,15,2025-06-30 00:00:00,"",Karlheinz Förster
21,Lautaro Martínez,https://www.footballbenchmark.com/documents/images/Logos/FC Internazionale Milano.png,https://www.footballbenchmark.com/documents/images/Flags/ar.png,88.8,5.750367383174904,EUR (€),FC Internazionale Milano,Serie A,Argentina,Forward,23.48,174,right,19,10,2023-06-30 00:00:00,"",Carlos Yaqué
22,Saúl Ñíguez,https://www.footballbenchmark.com/documents/images/Logos/Atlético de Madrid.png,https://www.footballbenchmark.com/documents/images/Flags/es.png,88.1,-0.8239770955507737,EUR (€),Atlético de Madrid,La Liga,Spain,Central midfielder,26.23,,left,19,3,2026-06-30 00:00:00,"",Stellar Group
23,João Félix,https://www.footballbenchmark.com/documents/images/Logos/Atlético de Madrid.png,https://www.footballbenchmark.com/documents/images/Flags/pt.png,86,7.74766116001436,EUR (€),Atlético de Madrid,La Liga,Portugal,Forward,21.26,180,both,11,2,2026-06-30 00:00:00,,Soccer ProMaster
24,Leroy Sané,https://www.footballbenchmark.com/documents/images/Logos/FC Bayern München.png,https://www.footballbenchmark.com/documents/images/Flags/de.png,85.8,4.697460267679574,EUR (€),FC Bayern München,Bundesliga,Germany,Left winger,25.09,183,left,25,6,2025-06-30 00:00:00,"",Lian Sports
25,Alphonso Davies,https://www.footballbenchmark.com/documents/images/Logos/FC Bayern München.png,https://www.footballbenchmark.com/documents/images/Flags/ca.png,84.8,-3.929629225548624,EUR (€),FC Bayern München,Bundesliga,Canada,Left-back,20.28,181,left,17,5,2025-06-30 00:00:00,"",ATG Sports Management
26,Heung-min Son,https://www.footballbenchmark.com/documents/images/Logos/Tottenham Hotspur FC.png,https://www.footballbenchmark.com/documents/images/Flags/kr.png,84.6,7.721494216885161,EUR (€),Tottenham Hotspur FC,Premier League,South Korea,Left winger,28.60,,both,89,26,2023-06-30 00:00:00,"",Sports United GmbH
27,Jan Oblak,https://www.footballbenchmark.com/documents/images/Logos/Atlético de Madrid.png,https://www.footballbenchmark.com/documents/images/Flags/si.png,82.3,8.105937672856257,EUR (€),Atlético de Madrid,La Liga,Slovenia,Goalkeeper,28.10,,right,32,0,2023-06-30 00:00:00,"",PlayersPromotion AG
28,Antoine Griezmann,https://www.footballbenchmark.com/documents/images/Logos/FC Barcelona.png,https://www.footballbenchmark.com/documents/images/Flags/fr.png,81.6,-4.215432244878883,EUR (€),FC Barcelona,La Liga,France,Forward,29.90,176,left,85,32,2024-06-30 00:00:00,"",Maud Griezmann
29,Alisson,https://www.footballbenchmark.com/documents/images/Logos/Liverpool FC.png,https://www.footballbenchmark.com/documents/images/Flags/br.png,80,-1.0454973172493425,EUR (€),Liverpool FC,Premier League,Brazil,Goalkeeper,28.36,191,right,44,0,2024-06-30 00:00:00,"",Football Capital
